"POLÍCIA RODOVIÁRIA FEDERAL
LOCAIS COM FISCALIZAÇÃO DE
VELOCIDADE POR RADAR PORTÁTIL
(Resolução 798/20 do CONTRAN)",,,
,,,
,,,
ESTADO (UF),RODOVIA (BR),KM INICIAL,KM FINAL
GO,153,"520,0","530,0"
GO,153,"530,0","540,0"
GO,153,"540,0","550,0"
GO,153,"560,0","570,0"
GO,153,"580,0","590,0"
GO,153,"590,0","600,0"
GO,153,"600,0","610,0"
GO,153,"610,0","620,0"
GO,153,"620,0","630,0"
GO,153,"640,0","650,0"
GO,153,"650,0","660,0"
GO,153,"660,0","670,0"
GO,153,"690,0","700,0"
GO,153,"700,0","710,0"
GO,158,"10,0","20,0"
GO,158,"10,0","20,0"
GO,158,"20,0","30,0"
GO,158,"50,0","60,0"
GO,158,"80,0","90,0"
GO,158,"90,0","100,0"
GO,158,"190,0","200,0"
GO,158,"210,0","220,0"
GO,158,"230,0","240,0"
GO,364,"80,0","90,0"
GO,364,"90,0","100,0"
GO,364,"100,0","110,0"
GO,364,"110,0","120,0"
GO,364,"190,0","200,0"
GO,364,"200,0","210,0"
GO,364,"210,0","220,0"
GO,364,"240,0","250,0"
GO,364,"250,0","260,0"
GO,364,"260,0","270,0"
GO,364,"300,0","310,0"
GO,364,"310,0","320,0"
GO,364,"320,0","330,0"
GO,364,"350,0","360,0"
GO,414,"420,0","430,0"
GO,414,"430,0","439,6"
GO,452,"0,0","10,0"
GO,452,"20,0","30,0"
GO,452,"30,0","40,0"
GO,452,"170,0","180,0"
MA,135,"50,0","60,0"
MA,222,"170,0","180,0"
MA,222,"300,0","310,0"
MA,230,"360,0","370,0"
MA,230,"420,0","430,0"
MA,230,"500,0","510,0"
MA,316,"80,0","90,0"
MA,316,"99,0","109,0"
MA,316,"170,0","180,0"
MA,316,"240,0","250,0"
MA,316,"250,0","260,0"
MA,316,"260,0","270,0"
MA,316,"270,0","280,0"
MA,316,"280,0","290,0"
MA,316,"310,0","320,0"
MA,316,"330,0","340,0"
MA,316,"540,0","550,0"
MA,316,"550,0","560,0"
MA,316,"560,0","570,0"
MA,316,"570,0","580,0"
MA,316,"580,0","590,0"
MA,316,"590,0","600,0"
MA,316,"600,0","610,0"
MA,316,"610,0","620,0"
MA,316,"620,0","621,1"
MA,402,"10,0","20,0"
MA,402,"70,0","80,0"
MA,402,"80,0","90,0"
MA,402,"120,0","130,0"
MA,402,"140,0","150,0"
MA,010,"160,0","170,0"
MA,010,"160,0","170,0"
MA,010,"170,0","180,0"
MA,010,"180,0","190,0"
MA,010,"190,0","200,0"
MA,010,"220,0","230,0"
MA,010,"230,0","240,0"
MA,010,"240,0","250,0"
MA,010,"250,0","260,0"
MA,010,"260,0","270,0"
MA,010,"270,0","280,0"
MA,010,"290,0","300,0"
MA,010,"300,0","310,0"
MA,010,"310,0","320,0"
MA,010,"320,0","330,0"
MA,010,"350,0","360,0"
MA,010,"370,0","378,7"
MA,010,180,"190,0"
MA,010,190,"200,0"
MA,010,220,"230,0"
MA,010,230,"240,0"
MA,010,240,"250,0"
MA,010,270,"280,0"
MA,010,290,"300,0"
MA,010,300,"310,0"
MA,010,350,"360,0"
MA,010,360,"370,0"
MA,135,"20,0","30,0"
MA,135,"30,0","40,0"
MA,135,"40,0","50,0"
MA,135,"60,0","70,0"
MA,135,"70,0","80,0"
MA,135,"80,0","90,0"
MA,135,"110,0","120,0"
MA,135,0,"10,0"
MA,135,10,"20,0"
MA,135,130,"140,0"
MA,222,"74,6","80,0"
MA,222,"130,0","140,0"
MA,222,"140,0","150,0"
MA,222,"150,0","160,0"
MA,222,"160,0","170,0"
MA,222,"210,0","220,0"
MA,222,"250,0","260,0"
MA,222,"260,0","270,0"
MA,222,"280,0","290,0"
MA,222,"290,0","300,0"
MA,222,"360,0","370,0"
MA,222,"370,0","380,0"
MA,222,"380,0","390,0"
MA,222,"488,0","498,0"
MA,222,"498,0","508,0"
MA,222,"640,0","650,0"
MA,222,"650,0","660,0"
MA,222,"660,0","670,0"
MA,222,"670,0","680,0"
MA,226,"10,0","20,0"
MA,226,"20,0","30,0"
MA,226,"30,0","40,0"
MA,226,"40,0","50,0"
MA,226,"50,0","60,0"
MA,226,"60,0","70,0"
MA,226,"70,0","80,0"
MA,226,"210,0","220,0"
MA,226,"220,0","230,0"
MA,226,"230,0","240,0"
MA,226,"240,0","250,0"
MA,226,"250,0","260,0"
MA,226,"260,0","270,0"
MA,226,"270,0","280,0"
MA,226,"280,0","290,0"
MA,226,"310,0","320,0"
MA,226,"320,0","330,0"
MA,226,"330,0","340,0"
MA,226,"340,0","345,0"
MA,226,"365,0","375,0"
MA,226,"375,0","385,0"
MA,226,"385,0","395,0"
MA,226,"395,0","405,0"
MA,226,"405,0","410,0"
MA,230,"340,0","350,0"
MA,230,"350,0","360,0"
MA,230,"390,0","400,0"
MA,230,"400,0","410,0"
MA,230,"410,0","420,0"
MG,040,"10,0","20,0"
MG,040,"20,0","30,0"
MG,040,"20,0","30,0"
MG,040,"40,0","50,0"
MG,040,"110,0","120,0"
MG,040,"110,0","120,0"
MG,040,"120,0","130,0"
MG,040,"120,0","130,0"
MG,040,"140,0","150,0"
MG,040,"140,0","150,0"
MG,040,"150,0","160,0"
